BlockID,Avg_Garden
0,3.4
1.01,5
15.1,4.666666666666667
16.208,3.5
50.66,2
75.208,4
100.204,3.5
100.5,3.6666666666666665
201.1,4.75
201.2,2.5
201.206,3.3333333333333335
207.1,4.5
210,3
3020.01,2.3333333333333335
3040.1,3.111111111111111
3040.2,3.3333333333333335
3120.2041,3.875
3130.101,2
3130.2042,3
3160.206,4
3180.2,3.6666666666666665
3190.205,3.125
3190.2051,3.7777777777777777
3200.20501,4
3230.1,3.6
3240.207,3.473684210526316
3240.2071,3.5
3240.2072,3.4375
3300.208,4.333333333333333
3300.2081,4.071428571428571
3300.209,3.2941176470588234
3300.20901,3
3300.2091,1.6666666666666667
3300.2092,3.3684210526315788
3400.2,3.6
3400.21,3.6
3400.3,2
3500.03,4
3520.2,3.875
3520.3,3.8333333333333335
3520.4,4.6
3520.5,3.6
3520.6,1
3540.1,5
3570.6,5
